1,……もうちょっと……。……寝かせて……。……もーちょっとぉー……。,6,t
2,――それでも、あたしはロンドンが好き。,-1,t
3,大丈夫。泣いてなんかいない。,-1,t
4,どうするの。どうするの、メアリ。,-1,t
5,……あなたも……そう…。……この目が、欲しいと言うのね。 ――いやよ。あなたには、何も、あげない！ 何も……！,-1,t
6,できる、メアリ？ できるわ。だって、こんなところで。死んだりしない。絶対。,-1,t
7,――わたしは、諦めるの？……嫌よ、嫌……。……諦めない、諦めない、諦めない……。,-1,t
8,……諦めない……！,-1,t
9,あたしは、あたしだけは、諦めない。,-1,t
10,――答えは決まっている。迷うことなんか、あるはずがない。――そうよね、シャーリィ。,-1,t
11,メアリと言います。 メアリ・クラリッサ・クリスティ。,-1,t
12,仔猫って、言わないで……！！,-1,t
13,……鬼ごっこは。追いつかれたと思ってから、本番、よ。,-1,t
14,あなたたちには……捕まってあげない。ずっと。,-1,t
15,あなたが…あなたが、あたしを、襲うのなら……どこまでも、どこまでも……逃げてみせるんだから！,-1,t
16,走ることならできる。そう、決めた。ヴィドック卿の発展理論を思い出しながら、正しく走ることだけに集中して。恐怖を引き剥がせなくても、足だけは。前に進むことだけは。,-1,t
17,主婦って、すごい。……すごいんですね。,-1,t
18,いっけない。午後の講義、始まっちゃう！,13,t
19,ただいま。うん、おかえり。,19,t
20,神さま。神さま。あたしは、卑しい人間、ですか。,-1,t
21,……お風呂、入ろ。,22,t
22,誓うわ。あなたに誓う。だからお願い、シャーリィを助けて。,-1,t
23,……ふぁ……。んー、もうちょっとだけ、カダス碑文頑張ろう…かな……。,3,t
